retailer_id,territory_id,state,district,tehsil,trust_level,emotional_state,preferred_language,preferred_channel,relationship_stage,farmer_name,memory_context,relationship_message,season_stage,season_advisory,panic_state,trust_score,farmer_question,detected_language,question_english,relationship_response_english,localized_response
RTL_00014,TER_0002,Haryana,Hisar,Hisar_T010,TRUSTED,HOPEFUL,Punjabi,Voice Call,4th Season,Farmer_13,last season yellowing after heavy rain,Farmer_13 ji 🙏 Last season you mentioned last season yellowing after heavy rain. We are monitoring similar conditions this week.,PRE_HARVEST,Mandi timing intelligence,PANIC,0.9,मेरे खेत में पत्ते पीले हो रहे हैं,hi,The leaves in my field are turning yellow,"Farmer_13 ji, we understand your concern. We remember: last season yellowing after heavy rain. Please do not panic. Our field team will support you immediately.","ਕਿਸਾਨ_13 ਜੀ, ਅਸੀਂ ਤੁਹਾਡੀ ਚਿੰਤਾ ਨੂੰ ਸਮਝਦੇ ਹਾਂ। ਸਾਨੂੰ ਯਾਦ ਹੈ: ਪਿਛਲੇ ਸੀਜ਼ਨ ਭਾਰੀ ਬਾਰਿਸ਼ ਦੇ ਬਾਅਦ ਪੀਲਾ. ਕਿਰਪਾ ਕਰਕੇ ਘਬਰਾਓ ਨਾ। ਸਾਡੀ ਫੀਲਡ ਟੀਮ ਤੁਰੰਤ ਤੁਹਾਡਾ ਸਮਰਥਨ ਕਰੇਗੀ।"
RTL_00015,TER_0002,Haryana,Hisar,Hisar_T001,TRUSTED,HOPEFUL,Punjabi,WhatsApp,2nd Season,Farmer_14,successful fertilizer intervention last season,Farmer_14 ji 🙏 Last season you mentioned successful fertilizer intervention last season. We are monitoring similar conditions this week.,RECOVERY,Empathy-first recovery planning,NORMAL,0.9,बारिश के बाद समस्या बढ़ गई,hi,The problem increased after the rain,Namaste Farmer_14 ji 🙏 We remember your previous season. successful fertilizer intervention last season. Your crop situation can improve with early monitoring.,ਨਮਸਤੇ ਕਿਸਾਨ_14 ਜੀ 🙏 ਸਾਨੂੰ ਤੁਹਾਡਾ ਪਿਛਲਾ ਸੀਜ਼ਨ ਯਾਦ ਹੈ। ਪਿਛਲੇ ਸੀਜ਼ਨ ਵਿੱਚ ਖਾਦ ਦਾ ਸਫਲ ਦਖਲ। ਸ਼ੁਰੂਆਤੀ ਨਿਗਰਾਨੀ ਨਾਲ ਤੁਹਾਡੀ ਫਸਲ ਦੀ ਸਥਿਤੀ ਵਿੱਚ ਸੁਧਾਰ ਹੋ ਸਕਦਾ ਹੈ।
RTL_00016,TER_0002,Haryana,Hisar,Hisar_T010,TRUSTED,HOPEFUL,Punjabi,Voice Call,2nd Season,Farmer_15,farmer concerned about mandi prices,Farmer_15 ji 🙏 Last season you mentioned farmer concerned about mandi prices. We are monitoring similar conditions this week.,POST_HARVEST,Season reflection and future planning,NORMAL,0.9,மழைக்கு பிறகு பிரச்சனை அதிகரித்தது,ta,The problem increased after the rains,Namaste Farmer_15 ji 🙏 We remember your previous season. farmer concerned about mandi prices. Your crop situation can improve with early monitoring.,ਨਮਸਤੇ ਕਿਸਾਨ_15 ਜੀ 🙏 ਸਾਨੂੰ ਤੁਹਾਡਾ ਪਿਛਲਾ ਸੀਜ਼ਨ ਯਾਦ ਹੈ। ਮੰਡੀ ਦੀਆਂ ਕੀਮਤਾਂ ਨੂੰ ਲੈ ਕੇ ਚਿੰਤਤ ਕਿਸਾਨ ਸ਼ੁਰੂਆਤੀ ਨਿਗਰਾਨੀ ਨਾਲ ਤੁਹਾਡੀ ਫਸਲ ਦੀ ਸਥਿਤੀ ਵਿੱਚ ਸੁਧਾਰ ਹੋ ਸਕਦਾ ਹੈ।
RTL_00017,TER_0002,Haryana,Hisar,Hisar_T007,TRUSTED,HOPEFUL,Hindi,WhatsApp,2nd Season,Farmer_16,farmer concerned about mandi prices,Farmer_16 ji 🙏 Last season you mentioned farmer concerned about mandi prices. We are monitoring similar conditions this week.,PEST_SEASON,Stabilize farmer emotions before product push,NORMAL,0.9,ಪಂಟಿಗೆ ರೋಗ ಬಂದಿದೆ,kn,Panti has got a disease,Namaste Farmer_16 ji 🙏 We remember your previous season. farmer concerned about mandi prices. Your crop situation can improve with early monitoring.,नमस्ते किसान_16 जी 🙏 हमें आपका पिछला सीज़न याद है। किसान मंडी भाव को लेकर चिंतित शीघ्र निगरानी से आपकी फसल की स्थिति में सुधार हो सकता है।
RTL_00018,TER_0003,Uttar Pradesh,Varanasi,Varanasi_T008,WARM,STABLE,Hindi,WhatsApp,1st Season,Farmer_17,last season yellowing after heavy rain,Namaste Farmer_17 🙏 We noticed conditions similar to nearby farms. Please monitor your field carefully this week.,PEST_SEASON,Stabilize farmer emotions before product push,PANIC,0.6,மழைக்கு பிறகு பிரச்சனை அதிகரித்தது,ta,The problem increased after the rains,"Farmer_17 ji, we understand your concern. We remember: last season yellowing after heavy rain. Please do not panic. Our field team will support you immediately.","किसान_17 जी, हम आपकी चिंता समझते हैं। हमें याद है: पिछले सीज़न में भारी बारिश के बाद पीलापन। कृपया घबराएं नहीं. हमारी फ़ील्ड टीम तुरंत आपकी सहायता करेगी."
RTL_00019,TER_0003,Uttar Pradesh,Varanasi,Varanasi_T001,WARM,STABLE,Hindi,Field Visit,2nd Season,Farmer_18,last season yellowing after heavy rain,Namaste Farmer_18 🙏 We noticed conditions similar to nearby farms. Please monitor your field carefully this week.,EARLY_GROWTH,Encourage healthy crop monitoring,PANIC,0.6,పంటలో పురుగులు ఎక్కువగా ఉన్నాయి,te,There are many insects in the crop,"Farmer_18 ji, we understand your concern. We remember: last season yellowing after heavy rain. Please do not panic. Our field team will support you immediately.","किसान_18 जी, हम आपकी चिंता समझते हैं। हमें याद है: पिछले सीज़न में भारी बारिश के बाद पीलापन। कृपया घबराएं नहीं. हमारी फ़ील्ड टीम तुरंत आपकी सहायता करेगी."
RTL_00020,TER_0003,Uttar Pradesh,Varanasi,Varanasi_T006,TRUSTED,HOPEFUL,Hindi,Voice Call,1st Season,Farmer_19,high yielding crop during Kharif season,Farmer_19 ji 🙏 Last season you mentioned high yielding crop during Kharif season. We are monitoring similar conditions this week.,VEGETATIVE,Monitor pests proactively,NORMAL,0.9,My crop growth is slowing,en,My crop growth is slowing,Namaste Farmer_19 ji 🙏 We remember your previous season. high yielding crop during Kharif season. Your crop situation can improve with early monitoring.,नमस्ते किसान_19 जी 🙏 हमें आपका पिछला सीज़न याद है। ख़रीफ़ सीज़न के दौरान अधिक उपज देने वाली फसल। शीघ्र निगरानी से आपकी फसल की स्थिति में सुधार हो सकता है।
RTL_00021,TER_0003,Uttar Pradesh,Varanasi,Varanasi_T005,WARM,STABLE,Hindi,Field Visit,4th Season,Farmer_20,successful fertilizer intervention last season,Namaste Farmer_20 🙏 We noticed conditions similar to nearby farms. Please monitor your field carefully this week.,PEST_SEASON,Stabilize farmer emotions before product push,NORMAL,0.6,মাটিতে আর্দ্রতা বেশি আছে,bn,There is more moisture in the soil,We noticed similar field conditions nearby. Timely action can reduce crop stress risk.,हमने आस-पास ऐसी ही फ़ील्ड स्थितियां देखीं। समय पर कार्रवाई से फसल तनाव के जोखिम को कम किया जा सकता है।
RTL_00022,TER_0003,Uttar Pradesh,Varanasi,Varanasi_T007,TRUSTED,HOPEFUL,Hindi,Voice Call,2nd Season,Farmer_21,high yielding crop during Kharif season,Farmer_21 ji 🙏 Last season you mentioned high yielding crop during Kharif season. We are monitoring similar conditions this week.,PEST_SEASON,Stabilize farmer emotions before product push,NORMAL,0.9,ਕੀ ਫਸਲ ਠੀਕ ਹੋ ਜਾਏਗੀ?,pa,Will the crop recover?,Namaste Farmer_21 ji 🙏 We remember your previous season. high yielding crop during Kharif season. Your crop situation can improve with early monitoring.,नमस्ते किसान_21 जी 🙏 हमें आपका पिछला सीज़न याद है। ख़रीफ़ सीज़न के दौरान अधिक उपज देने वाली फसल। शीघ्र निगरानी से आपकी फसल की स्थिति में सुधार हो सकता है।
RTL_00023,TER_0003,Uttar Pradesh,Varanasi,Varanasi_T007,TRUSTED,HOPEFUL,Hindi,Voice Call,2nd Season,Farmer_22,previous pest outbreak recovered successfully,Farmer_22 ji 🙏 Last season you mentioned previous pest outbreak recovered successfully. We are monitoring similar conditions this week.,PEST_SEASON,Stabilize farmer emotions before product push,PANIC,0.9,મારા ખેતરમાં પાણી વધારે છે,gu,Water is high in my farm,"Farmer_22 ji, we understand your concern. We remember: previous pest outbreak recovered successfully. Please do not panic. Our field team will support you immediately.","किसान_22 जी, हम आपकी चिंता समझते हैं। हमें याद है: पिछला कीट प्रकोप सफलतापूर्वक ठीक हो गया था। कृपया घबराएं नहीं. हमारी फ़ील्ड टीम तुरंत आपकी सहायता करेगी."
RTL_00024,TER_0003,Uttar Pradesh,Varanasi,Varanasi_T009,TRUSTED,HOPEFUL,Hindi,Field Visit,3rd Season,Farmer_23,previous pest outbreak recovered successfully,Farmer_23 ji 🙏 Last season you mentioned previous pest outbreak recovered successfully. We are monitoring similar conditions this week.,PEST_SEASON,Stabilize farmer emotions before product push,PANIC,0.9,My crop growth is slowing,en,My crop growth is slowing,"Farmer_23 ji, we understand your concern. We remember: previous pest outbreak recovered successfully. Please do not panic. Our field team will support you immediately.","किसान_23 जी, हम आपकी चिंता समझते हैं। हमें याद है: पिछला कीट प्रकोप सफलतापूर्वक ठीक हो गया था। कृपया घबराएं नहीं. हमारी फ़ील्ड टीम तुरंत आपकी सहायता करेगी."
RTL_00025,TER_0004,Rajasthan,Bharatpur,Bharatpur_T004,WARM,STABLE,Hindi,Voice Call,4th Season,Farmer_24,last season yellowing after heavy rain,Namaste Farmer_24 🙏 We noticed conditions similar to nearby farms. Please monitor your field carefully this week.,EARLY_GROWTH,Encourage healthy crop monitoring,PANIC,0.6,મારા ખેતરમાં પાણી વધારે છે,gu,Water is high in my farm,"Farmer_24 ji, we understand your concern. We remember: last season yellowing after heavy rain. Please do not panic. Our field team will support you immediately.","किसान_24 जी, हम आपकी चिंता समझते हैं। हमें याद है: पिछले सीज़न में भारी बारिश के बाद पीलापन। कृपया घबराएं नहीं. हमारी फ़ील्ड टीम तुरंत आपकी सहायता करेगी."
RTL_00026,TER_0004,Rajasthan,Bharatpur,Bharatpur_T008,WARM,STABLE,Hindi,Voice Call,2nd Season,Farmer_25,farmer concerned about mandi prices,Namaste Farmer_25 🙏 We noticed conditions similar to nearby farms. Please monitor your field carefully this week.,PRE_HARVEST,Mandi timing intelligence,NORMAL,0.6,મારા ખેતરમાં પાણી વધારે છે,gu,Water is high in my farm,We noticed similar field conditions nearby. Timely action can reduce crop stress risk.,हमने आस-पास ऐसी ही फ़ील्ड स्थितियां देखीं। समय पर कार्रवाई से फसल तनाव के जोखिम को कम किया जा सकता है।
RTL_00027,TER_0004,Rajasthan,Bharatpur,Bharatpur_T004,TRUSTED,HOPEFUL,Hindi,WhatsApp,1st Season,Farmer_26,previous pest outbreak recovered successfully,Farmer_26 ji 🙏 Last season you mentioned previous pest outbreak recovered successfully. We are monitoring similar conditions this week.,PRE_SOWING,Build confidence before sowing,PANIC,0.9,મારા ખેતરમાં પાણી વધારે છે,gu,Water is high in my farm,"Farmer_26 ji, we understand your concern. We remember: previous pest outbreak recovered successfully. Please do not panic. Our field team will support you immediately.","किसान_26 जी, हम आपकी चिंता समझते हैं। हमें याद है: पिछला कीट प्रकोप सफलतापूर्वक ठीक हो गया था। कृपया घबराएं नहीं. हमारी फ़ील्ड टीम तुरंत आपकी सहायता करेगी."
RTL_00028,TER_0004,Rajasthan,Bharatpur,Bharatpur_T005,WARM,STABLE,Hindi,Voice Call,4th Season,Farmer_27,previous pest outbreak recovered successfully,Namaste Farmer_27 🙏 We noticed conditions similar to nearby farms. Please monitor your field carefully this week.,PRE_SOWING,Build confidence before sowing,PANIC,0.6,ਕੀ ਫਸਲ ਠੀਕ ਹੋ ਜਾਏਗੀ?,pa,Will the crop recover?,"Farmer_27 ji, we understand your concern. We remember: previous pest outbreak recovered successfully. Please do not panic. Our field team will support you immediately.","किसान_27 जी, हम आपकी चिंता समझते हैं। हमें याद है: पिछला कीट प्रकोप सफलतापूर्वक ठीक हो गया था। कृपया घबराएं नहीं. हमारी फ़ील्ड टीम तुरंत आपकी सहायता करेगी."
RTL_00029,TER_0004,Rajasthan,Bharatpur,Bharatpur_T007,WARM,STABLE,Hindi,Voice Call,3rd Season,Farmer_28,high yielding crop during Kharif season,Namaste Farmer_28 🙏 We noticed conditions similar to nearby farms. Please monitor your field carefully this week.,VEGETATIVE,Monitor pests proactively,NORMAL,0.6,धान की फसल कमजोर लग रही है,hi,Paddy crop looks weak,We noticed similar field conditions nearby. Timely action can reduce crop stress risk.,हमने आस-पास ऐसी ही फ़ील्ड स्थितियां देखीं। समय पर कार्रवाई से फसल तनाव के जोखिम को कम किया जा सकता है।
RTL_00030,TER_0005,Maharashtra,Jalgaon,Jalgaon_T008,TRUSTED,HOPEFUL,Hindi,Field Visit,4th Season,Farmer_29,high yielding crop during Kharif season,Farmer_29 ji 🙏 Last season you mentioned high yielding crop during Kharif season. We are monitoring similar conditions this week.,PRE_HARVEST,Mandi timing intelligence,NORMAL,0.9,My crop growth is slowing,en,My crop growth is slowing,Namaste Farmer_29 ji 🙏 We remember your previous season. high yielding crop during Kharif season. Your crop situation can improve with early monitoring.,नमस्ते किसान_29 जी 🙏 हमें आपका पिछला सीज़न याद है। ख़रीफ़ सीज़न के दौरान अधिक उपज देने वाली फसल। शीघ्र निगरानी से आपकी फसल की स्थिति में सुधार हो सकता है।
RTL_00031,TER_0005,Maharashtra,Jalgaon,Jalgaon_T001,WARM,STABLE,Marathi,Field Visit,1st Season,Farmer_30,previous pest outbreak recovered successfully,Namaste Farmer_30 🙏 We noticed conditions similar to nearby farms. Please monitor your field carefully this week.,POST_HARVEST,Season reflection and future planning,PANIC,0.6,ਕੀ ਫਸਲ ਠੀਕ ਹੋ ਜਾਏਗੀ?,pa,Will the crop recover?,"Farmer_30 ji, we understand your concern. We remember: previous pest outbreak recovered successfully. Please do not panic. Our field team will support you immediately.","शेतकरी_३० जी, आम्हाला तुमची चिंता समजली. आम्हाला आठवते: मागील कीटकांचा प्रादुर्भाव यशस्वीरित्या पुनर्प्राप्त झाला. कृपया घाबरू नका. आमची फील्ड टीम तुम्हाला लगेच सपोर्ट करेल."
RTL_00032,TER_0005,Maharashtra,Jalgaon,Jalgaon_T007,TRUSTED,HOPEFUL,Hindi,Voice Call,3rd Season,Farmer_31,last season yellowing after heavy rain,Farmer_31 ji 🙏 Last season you mentioned last season yellowing after heavy rain. We are monitoring similar conditions this week.,RECOVERY,Empathy-first recovery planning,PANIC,0.9,મારા ખેતરમાં પાણી વધારે છે,gu,Water is high in my farm,"Farmer_31 ji, we understand your concern. We remember: last season yellowing after heavy rain. Please do not panic. Our field team will support you immediately.","किसान_31 जी, हम आपकी चिंता समझते हैं। हमें याद है: पिछले सीज़न में भारी बारिश के बाद पीलापन। कृपया घबराएं नहीं. हमारी फ़ील्ड टीम तुरंत आपकी सहायता करेगी."
RTL_00033,TER_0005,Maharashtra,Jalgaon,Jalgaon_T006,TRUSTED,HOPEFUL,Marathi,WhatsApp,1st Season,Farmer_32,high yielding crop during Kharif season,Farmer_32 ji 🙏 Last season you mentioned high yielding crop during Kharif season. We are monitoring similar conditions this week.,PRE_SOWING,Build confidence before sowing,NORMAL,0.9,ਕੀ ਫਸਲ ਠੀਕ ਹੋ ਜਾਏਗੀ?,pa,Will the crop recover?,Namaste Farmer_32 ji 🙏 We remember your previous season. high yielding crop during Kharif season. Your crop situation can improve with early monitoring.,Namaste Farmer_32 ji 🙏 आम्हाला तुमचा मागील हंगाम आठवतो. खरीप हंगामात जास्त उत्पादन देणारे पीक. लवकर निरीक्षण करून तुमची पीक परिस्थिती सुधारू शकते.
RTL_00034,TER_0005,Maharashtra,Jalgaon,Jalgaon_T007,COLD,ANXIOUS,Marathi,WhatsApp,4th Season,Farmer_33,previous pest outbreak recovered successfully,"Farmer_33 ji, field conditions require attention this week. Our field officer may contact you soon.",RECOVERY,Empathy-first recovery planning,PANIC,0.3,बारिश के बाद समस्या बढ़ गई,hi,The problem increased after the rain,"Farmer_33 ji, we understand your concern. We remember: previous pest outbreak recovered successfully. Please do not panic. Our field team will support you immediately.","शेतकरी_३३ जी, आम्हाला तुमची चिंता समजली. आम्हाला आठवते: मागील कीटकांचा प्रादुर्भाव यशस्वीरित्या पुनर्प्राप्त झाला. कृपया घाबरू नका. आमची फील्ड टीम तुम्हाला लगेच सपोर्ट करेल."
RTL_00035,TER_0005,Maharashtra,Jalgaon,Jalgaon_T003,COLD,ANXIOUS,Marathi,Field Visit,3rd Season,Farmer_34,farmer concerned about mandi prices,"Farmer_34 ji, field conditions require attention this week. Our field officer may contact you soon.",PRE_SOWING,Build confidence before sowing,NORMAL,0.3,मेरे खेत में पत्ते पीले हो रहे हैं,hi,The leaves in my field are turning yellow,We noticed your field conditions may need attention. Our advisory team recommends monitoring this week.,आमच्या लक्षात आले आहे की तुमच्या फील्ड परिस्थितीकडे लक्ष देण्याची गरज आहे. आमची सल्लागार टीम या आठवड्यात निरीक्षण करण्याची शिफारस करते.
RTL_00036,TER_0006,Uttar Pradesh,Lucknow,Lucknow_T008,COLD,ANXIOUS,Hindi,Voice Call,1st Season,Farmer_35,high yielding crop during Kharif season,"Farmer_35 ji, field conditions require attention this week. Our field officer may contact you soon.",PRE_SOWING,Build confidence before sowing,NORMAL,0.3,My crop growth is slowing,en,My crop growth is slowing,We noticed your field conditions may need attention. Our advisory team recommends monitoring this week.,हमने देखा कि आपके क्षेत्र की स्थितियों पर ध्यान देने की आवश्यकता हो सकती है। हमारी सलाहकार टीम इस सप्ताह निगरानी की अनुशंसा करती है।
